Date,returns,abs_returns,range,vol_chg,vol_5,vol_20,target,vol_60,vol_ratio
2017-06-08,0.000492484852561717,0.000492484852561717,0.00475840375714984,0.19725478846003675,0.002495084625370607,0.005364295133813007,0,0.004708626281150978,1.1392484375510383
2017-06-09,-0.0015180474373987197,0.0015180474373987197,0.012571371400336914,0.6958349695536165,0.0019234708183188183,0.005350803780458372,0,0.004594027218056468,1.1647305352104689
2017-06-12,-0.00020511244018845543,0.00020511244018845543,0.004273476674574585,-0.42913897909839643,0.001930205086992491,0.005324453510176173,1,0.004584320779091978,1.16144872201347
2017-06-13,0.004889672297923879,0.004889672297923879,0.004211812580018229,-0.36014287778350923,0.002441866869373879,0.005297442049660076,0,0.004611050325096099,1.1488579989743817
2017-06-14,-0.0012675628205683883,0.0012675628205683883,0.006469054190628526,0.26894035521325116,0.002596194301401972,0.005304338061671434,0,0.004612123577064563,1.1500858494011643
2017-06-15,-0.0019240911239899582,0.0019240911239899582,0.006358465047345909,-0.1677269723263853,0.0028090990572892187,0.003106026502411821,0,0.004279165423543504,0.7258486632283015
2017-06-16,0.0002182714356479728,0.0002182714356479728,0.004945585852541737,0.24070575060073918,0.002679637348947677,0.0030699923244593584,1,0.004274145525444556,0.7182704253243803
2017-06-19,0.008325180529456147,0.008325180529456147,0.005109130962518528,-0.26108966556778085,0.004404442863445508,0.0032488394274484567,1,0.004379955336261156,0.7417517253090875
2017-06-20,-0.0067440594395454054,0.0067440594395454054,0.005226077290562338,-0.13488226096138126,0.005471740462995156,0.0036291439836868278,0,0.004483891506863329,0.8093737277389137
2017-06-21,-0.0002468526999397277,0.0002468526999397277,0.004856936367991088,-0.016456202124930715,0.005444585930702094,0.003626600757381388,0,0.0044798418698181715,0.8095376718126404
2017-06-22,-0.0004527828498306395,0.0004527828498306395,0.003664962127614637,-0.237401719697465,0.005358700086662477,0.00362015505372726,0,0.004399203224459621,0.8229115294331382
2017-06-23,0.0011942801982561223,0.0011942801982561223,0.004277519291105463,0.4169456940392587,0.005376371026271612,0.0034946712717794496,0,0.0043996502187886605,0.7943066148430373
2017-06-26,0.0006578770632551778,0.0006578770632551778,0.005466734628458204,-0.16671255601862642,0.0032153668095063854,0.003490399169904376,1,0.004386759269315043,0.7956669047967553
2017-06-27,-0.00805608241005288,0.00805608241005288,0.008577496823904518,0.37195239669168206,0.003791229672592381,0.003982212555363682,1,0.004511613802794285,0.8826581195618479
2017-06-28,0.008950442225049574,0.008950442225049574,0.006119370239226936,-0.16063179735522443,0.006041993797836763,0.004431668932845031,1,0.004631880953489912,0.9567752231425486
2017-06-29,-0.008788848733972579,0.008788848733972579,0.015579011442921944,0.4232550021019578,0.0073622668883420155,0.004563967093780761,0,0.004789826533749034,0.9528460084354055
2017-06-30,0.0018643097951046475,0.0018643097951046475,0.004673303840160049,-0.20851355797807403,0.00742278366326517,0.004516544612074921,0,0.004771008936987912,0.946664462742834
2017-07-03,0.0016957375013659285,0.0016957375013659285,0.004830511277461323,-0.7963475921909522,0.007497473603488799,0.004535026223859295,0,0.004764347481245727,0.951867226668683
2017-07-05,0.0023118566579654796,0.0023118566579654796,0.005396043726734673,0.3293738978367195,0.0063594323194024124,0.004505067138152063,1,0.004764980868928738,0.9454533527151162
2017-07-06,-0.009144091301071343,0.009144091301071343,0.007025576470446398,0.1836631126611544,0.005988747937091606,0.004938220249730164,1,0.004928921178049181,1.001886634284678
2017-07-07,0.006484748430412536,0.006484748430412536,0.007104213854723262,-0.12056918054533311,0.005815885918699468,0.00517072163694315,0,0.004984697243100124,1.03731909577869
2017-07-10,0.001074032272758322,0.001074032272758322,0.00429099544446092,-0.45818905553196554,0.005785037350811026,0.005165467148211816,0,0.00494211516339783,1.0451936018140915
2017-07-11,-0.0007424415822623328,0.0007424415822623328,0.0070192697101668635,0.3173137207411795,0.005760116392650382,0.00516821586329439,1,0.0048556734393766345,1.0643664422288415
2017-07-12,0.0075144418223840985,0.0075144418223840985,0.003688348496967678,0.16874008002471028,0.006679401521976249,0.005329330371933327,0,0.004820674951168533,1.105515394818623
2017-07-13,0.0016804508245910647,0.0016804508245910647,0.003232176380165966,-0.41224862952288427,0.0035977621295265653,0.005328938057113824,0,0.004796979257642971,1.1108945381873998
2017-07-14,0.0046641446461436874,0.0046641446461436874,0.006760073621980191,0.42313191256981103,0.0032586414526663623,0.005387935109444263,0,0.004809154256070167,1.1203498208949219
2017-07-17,-0.0001222513014536455,0.0001222513014536455,0.0023622442631788024,-0.586216113994527,0.0034583436683533007,0.005389819192134289,0,0.004716825455905413,1.142679380977792
2017-07-18,0.0005294647789630357,0.0005294647789630357,0.004274212472951171,0.24269651684989663,0.003187283023155983,0.00507488340229729,1,0.004687909840400189,1.0825471425585407
2017-07-19,0.005413976402092142,0.005413976402092142,0.0040082815949873075,0.17730421428906631,0.0024790780761811187,0.004923171360526682,0,0.0045362218327175624,1.0853021615958551
2017-07-20,0.0004454474317940438,0.0004454474317940438,0.003844584883758326,-0.07947788771365094,0.0026297665613733124,0.004917675714681654,0,0.004487591867895002,1.09583844953984
2017-07-21,-0.0008905688679145938,0.0008905688679145938,0.0029569465808892215,0.5578466641365026,0.0024908599296463653,0.004924789906832452,0,0.004489009066208258,1.0970772912678222
2017-07-24,-0.00024319537501533235,0.00024319537501533235,0.0028360624239131406,-0.5687877646670326,0.0025059373156230283,0.004929785791803174,0,0.004490507709287529,1.0978237007826763
2017-07-25,0.002431130240656422,0.002431130240656422,0.0025866922414712443,0.16371849371711766,0.002550896259361038,0.00494368476416427,0,0.00448060628964055,1.1033517440696334
2017-07-26,4.037351429702371e-05,4.037351429702371e-05,0.0026673742992229916,-0.14348164023306836,0.0012576519238037803,0.004486007831915691,0,0.004475270876127431,1.0023991745048404
